14-2-16 shunt,,,,,,,,,
Day,Frequency (Hz),Z (Ω), -Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),Time (s),-Z'' (Ω),Z' (Ω)
,6812.9,22478163.6,88.6676366,,,,,,
,4641.6,32757061.9,88.9355958,,,,,,
,3162.3,48497230.1,89.0634275,,,,,,
,2154.4,70414493.6,89.608683,,,,,,
,1467.8,102607184,89.1779632,,,,,,
,1000,149839496,88.9179236,,,,,,
,681.29,216971977,88.9339322,,,,,,
,464.16,326498950,90.2638563,,,,,,
,316.23,472550877,89.4721815,,,,,,
,215.44,673449344,89.6764536,,,,,,
,146.78,980236832,87.94673,,,,,,
,100,1453441593,90.0132321,,,,,,
,68.129,2068309080,88.4931247,,,,,,
,46.416,3104039134,87.5843911,,,,,,
,31.623,4327368436,84.6796243,,,,,,
,21.544,6220253867,90.2367046,,,,,,
,14.678,8844015147,86.7176324,,,,,,
,10,1.21E+10,73.7830525,,,,,,
,100000,1467221.13,94.0104773,,,,,,
,68129,2150766.57,92.7336405,,,,,,
,46416,3154949.22,91.861632,,,,,,
,31623,4629497.01,91.2662939,,,,,,
,21544,6794434.53,90.8594437,,,,,,
,14678,9972090.54,90.580681,,,,,,
,10000,14636618.7,90.3884505,,,,,,
,6812.9,21483399.7,90.2541252,,,,,,
,4641.6,31532951.8,90.1576875,,,,,,
,3162.3,46283689.7,90.0847579,,,,,,
,2154.4,67936628.7,90.0244602,,,,,,
,1467.8,99715549.9,89.9678157,,,,,,
,1000,146362229,89.9063704,,,,,,
,681.29,214830320,89.8309653,,,,,,
,464.16,315323912,89.7303619,,,,,,
,316.23,462823274,89.5895619,,,,,,
,215.44,679326004,89.3875632,,,,,,
,146.78,997030034,89.0943132,,,,,,
,100,1463226917,88.6661243,,,,,,
,68.129,2147054397,88.0393836,,,,,,
,46.416,3149294776,87.121372,,,,,,
,31.623,4615787707,85.7774075,,,,,,
,21.544,6754088768,83.8138433,,,,,,
,14.678,9847681749,80.9597601,,,,,,
,10,1.43E+10,76.8546606,,,,,,
Day-18,Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),,,
13-Jun,100000,921031.392,92.1138249,-21282,2.93E+10,1.88E-12,,,
17:00,68129,1372681.83,90.9186115,,,,,,
,46416,2016620.69,90.1650499,,,,,,
,31623,2969710.74,89.8445955,,,,,,
,21544,4317874.73,89.9153474,,,,,,
,14678,6308799.55,89.5303186,,,,,,
,10000,9286572.58,89.4824211,,,,,,
,6812.9,13475228.3,89.3372534,,,,,,
,4641.6,19757356.2,89.5161988,,,,,,
,3162.3,29148692.6,89.2118687,,,,,,
,2154.4,42426663,89.7593245,,,,,,
,1467.8,62216823.1,88.669679,,,,,,
,1000,91126616,88.4595764,,,,,,
,681.29,133854375,87.759178,,,,,,
,464.16,193496227,86.6201913,,,,,,
,316.23,286618148,85.4608407,,,,,,
,215.44,398382061,83.9487635,,,,,,
,146.78,574949006,83.7772549,,,,,,
,100,804332062,84.2288192,,,,,,
,68.129,1116177132,82.780226,,,,,,
,46.416,1577934115,82.4942066,,,,,,
,31.623,2345364863,83.692301,,,,,,
,21.544,3060484292,84.3884746,,,,,,
,14.678,4562816625,85.2910377,,,,,,
,10,7818255067,75.4691602,,,,,,
,100000,845397.63,91.4408585,,,,,,
,68129,1240667.08,90.980452,,,,,,
,46416,1820896.76,90.6661023,,,,,,
,31623,2672600.65,90.4510189,,,,,,
,21544,3922865.49,90.3031552,,,,,,
,14678,5757838.05,90.2004997,,,,,,
,10000,8451323.56,90.1277303,,,,,,
,6812.9,12404862.5,90.0740037,,,,,,
,4641.6,18207732.8,90.0313113,,,,,,
,3162.3,26725156.6,89.9932869,,,,,,
,2154.4,39228048.5,89.9542587,,,,,,
,1467.8,57577880.7,89.9084154,,,,,,
,1000,84512621.2,89.8489159,,,,,,
,681.29,124047341,89.766891,,,,,,
,464.16,182073714,89.6501161,,,,,,
,316.23,267240444,89.4811837,,,,,,
,215.44,392245521,89.2349001,,,,,,
,146.78,575668406,88.8746389,,,,,,
,100,844777309,88.3467758,,,,,,
,68.129,1239370938,87.5730355,,,,,,
,46.416,1817256393,86.4394081,,,,,,
,31.623,2661434545,84.7810076,,,,,,
,21.544,3888012270,82.3633183,,,,,,
,14.678,5649427950,78.866263,,,,,,
,10,8119312828,73.8875034,,,,,,
