IDE-name,Date,,,,,,,,,,,,,,,,,,,,,,,,,
27-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
27-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
27-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
28-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
28-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-2-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-2-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-4-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-4-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-8-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-8-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
31-16-m,dry,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,
31-16-s,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/5/2022,7/6/2022,7/8/2022,7/12/2022,7/14/2022,7/18/2022,7/21/2022,7/25/2022,,,,,,,,,,,,,
